,Vacancy,Link,Company,City,Salary_min,Salary_max,Currency
0,Программист-разработчик python (midle),https://hh.ru/vacancy/36955642?query=python, CATAPULTO.RU ,Москва,,180000,руб.
1,Python-разработчик,https://hh.ru/vacancy/36445891?query=python, FunBox ,Москва,100000,,руб.
2,Разработчик Python / Django,https://hh.ru/vacancy/36876631?query=python,ООО Смартекс ,"Москва, Деловой центр",150000,200000,руб.
3,QA Automation Engineer (Python),https://hh.ru/vacancy/35419959?query=python, NetworkOptix ,"Москва, Комсомольская и еще 1 ",3000,,USD
4,Senior Python Developer (to Riga),https://hh.ru/vacancy/36950783?query=python, Betby ,Москва,,,
5,Python Data Scientist,https://hh.ru/vacancy/36916080?query=python, Web Interactive World ,"Москва, Площадь Революции и еще 3 ",150000,,руб.
6,Программист C++/Python,https://hh.ru/vacancy/35909189?query=python,АО Интегрис ,Москва,110000,,руб.
7,Data scientist,https://hh.ru/vacancy/36877389?query=python, Билайн ,Москва,,,
8,Python разработчик,https://hh.ru/vacancy/37005696?query=python,ООО Константа ,"Москва, Красносельская",170000,220000,руб.
9,Системный программист Python/Rust,https://hh.ru/vacancy/36737924?query=python, Group-IB ,Москва,,,
10,Senior Python developer,https://hh.ru/vacancy/30005963?query=python, NetworkOptix ,"Москва, Комсомольская и еще 1 ",4000,,USD
11,Python/Django разработчик (part time),https://hh.ru/vacancy/36860082?query=python,ООО Интернет Лид ,Москва,30000,40000,руб.
12,"Data Scientist / Machine Learning Engineer (удаленно, г. Краснодар)",https://hh.ru/vacancy/36916535?query=python,ООО ПРОФИТКЛИКС ,Москва,130000,,руб.
13,Программист Python,https://hh.ru/vacancy/36858299?query=python,ООО НТБ ,Москва,,,
14,"Преподаватель SQL, Java, Big Data",https://hh.ru/vacancy/36767801?query=python, Школа больших данных ,"Москва, Алтуфьево",200000,,руб.
15,"Lead Python Developer (Tallinn, Estonia)",https://hh.ru/vacancy/36865337?query=python, Reinvent Baltics ,Москва,3500,7000,EUR
16,"GFN Software Engineer - Gaming (Python, C++)",https://hh.ru/vacancy/36922412?query=python, NVIDIA ,"Москва, Марьина Роща и еще 1 ",,,
17,Python Developer,https://hh.ru/vacancy/37009442?query=python,ООО РедСейл ,Москва,,,
18,Backend python/Django разработчик,https://hh.ru/vacancy/37005320?query=python,ООО БОЛЬШАЯ ТРОЙКА ,"Москва, Бауманская",120000,200000,руб.
19,Junior/Middle Data Scientist,https://hh.ru/vacancy/36715819?query=python, Improvado ,Москва,,,
20,Senior Python Developer,https://hh.ru/vacancy/36906273?query=python,ООО НИИ ТРАНСМАШ ,"Москва, Павелецкая и еще 2 ",180000,,руб.
21,Ведущий разработчик Python,https://hh.ru/vacancy/36895861?query=python,ООО Масл фектори ,Москва,,,
22,Senior data scientist (anti-fraud),https://hh.ru/vacancy/37008731?query=python, inDriver ,"Москва, Улица 1905 года",,,
23,Разработчик Python Backend,https://hh.ru/vacancy/36916013?query=python, Web Interactive World ,"Москва, Площадь Революции и еще 3 ",150000,,руб.
24,Senior Python Developer / Ведущий Python-разработчик,https://hh.ru/vacancy/36444270?query=python, ASD Technologies ,Москва,200000,,руб.
25,Data Engineer (Python),https://hh.ru/vacancy/36991105?query=python,ООО КИБЕРТОНИКА ,Москва,90000,150000,руб.
26,Программист Javascript (React) + Python,https://hh.ru/vacancy/36572530?query=python,ИП Надеждина Татьяна Николаевна ,Москва,60000,,руб.
27,Разработчик Python,https://hh.ru/vacancy/35871016?query=python,ООО НТ Прогресс ,"Москва, Автозаводская",,,
28,Senior Data Scientist,https://hh.ru/vacancy/36769687?query=python, Gradient ,"Москва, Калужская",300000,,руб.
29,Программист Python,https://hh.ru/vacancy/33864637?query=python, Связной ,Москва,,,
30,Junior Программист-разработчик (Python),https://hh.ru/vacancy/36964524?query=python," ГРЧЦ, ФГУП ","Москва, Марьина Роща",,,
31,Разработчик Python,https://hh.ru/vacancy/36965355?query=python,ООО Мобильное электронное образование ,Москва,,,
32,Data Scientist,https://hh.ru/vacancy/36997030?query=python, Prequel ,Москва,,,
33,Программист Python,https://hh.ru/vacancy/36680277?query=python,ООО Доверенная среда ,"Москва, Румянцево",160000,200000,руб.
34,Python developer / Разработчик Python,https://hh.ru/vacancy/36664372?query=python, Лаборатория Касперского ,"Москва, Водный стадион",,,
35,Python (Django) developer,https://hh.ru/vacancy/36756683?query=python, evrone.ru ,Москва,,180000,руб.
36,Инженер по автоматизации тестирования / Python разработчик,https://hh.ru/vacancy/36752510?query=python,ООО Основа Лаб ,Москва,,,
37,Разработчик Python,https://hh.ru/vacancy/36593364?query=python, NX Studio ,"Москва, Марксистская и еще 2 ",,,
38,Разработчик Python 2.7 (3.Х),https://hh.ru/vacancy/36990983?query=python, СБСОФТ ,"Москва, Петровско-Разумовская и еще 3 ",,,
39,Developer Python/Scala/Spark,https://hh.ru/vacancy/36693681?query=python, Банк ВТБ (ПАО) ,"Москва, Кузнецкий мост",,,
40,Machine Learning Research Engineer / Инженер отдела исследований и разработок,https://hh.ru/vacancy/36818130?query=python, BOSCH ,Москва,,,
41,Разработчик Python,https://hh.ru/vacancy/35013498?query=python, ДомКлик ,"Москва, Кутузовская",,,
42,Программист Python/Wolfram Mathematica,https://hh.ru/vacancy/36686761?query=python, IntergridMidwest Group LLC (ИП Кляхандлер М.Л.) ,"Москва, Проспект Вернадского и еще 2 ",,,
43,Программист Python,https://hh.ru/vacancy/36978531?query=python, Сбербанк для экспертов ,Москва,,,
44,"Infrastructure Software Engineer (C#, Python or PHP) - GeForce NOW",https://hh.ru/vacancy/36922487?query=python, NVIDIA ,"Москва, Марьина Роща и еще 1 ",,,
45,Python разработчик,https://hh.ru/vacancy/34322458?query=python, МойОфис ,"Москва, Тверская и еще 2 ",,,
46,Senior Python Developer,https://hh.ru/vacancy/35469057?query=python, ДомКлик ,"Москва, Кутузовская",,,
47,"Веб-разработчик (Python, Django, AngularJS)",https://hh.ru/vacancy/36786810?query=python,ООО РУВЕНТС ,Москва,30000,100000,руб.
48,Python Developer (Security Big Data),https://hh.ru/vacancy/37006631?query=python, Лаборатория Касперского ,"Москва, Водный стадион",,,
49,C++ Senior Software Developer,https://hh.ru/vacancy/36806210?query=python,ООО Варити ,Москва,250000,,руб.
50,Специалист по машинному обучению ( Data scientist ),https://hh.ru/vacancy/36763596?query=python,ООО Аналитические решения ,"Москва, Нагатинская",,,
51,Python senior developer,https://hh.ru/vacancy/35846205?query=python, BestDoctor ,Москва,180000,250000,руб.
52,Python Developer (AI),https://hh.ru/vacancy/36550269?query=python,"ПАО «МТС»,IT ","Москва, Технопарк",,,
53,Junior Product Data-Analyst,https://hh.ru/vacancy/36921795?query=python, NEXTRP ,Москва,,,
54,Разработчик Python,https://hh.ru/vacancy/36958871?query=python, Авито ,Москва,,,
55,Python/Go Developer,https://hh.ru/vacancy/34567979?query=python, ДомКлик ,"Москва, Кутузовская",,,
56,Data scientist,https://hh.ru/vacancy/36782571?query=python, Генотек ,"Москва, Чкаловская",60000,130000,руб.
57,Разработчик Python (Django),https://hh.ru/vacancy/36782702?query=python,ООО Мемфис ,Москва,,,
58,Аналитик по машинному обучению,https://hh.ru/vacancy/36904901?query=python,ООО Энтел-Транспорт ,Москва,80000,,руб.
59,Python / Django разработчик,https://hh.ru/vacancy/36951552?query=python,ООО Смд-Агенство ,Москва,100000,,руб.
60,Разработчик Python,https://hh.ru/vacancy/36711877?query=python, ИнПлат ,"Москва, Менделеевская и еще 2 ",,,
61,"Инженер по автоматизированному тестированию (QA Automation Engineer) Python, C",https://hh.ru/vacancy/36630285?query=python,ООО АМИКОН ,"Москва, Южная",80000,130000,руб.
62,Senior Data scientist (NLP/NLU),https://hh.ru/vacancy/33481272?query=python, ДомКлик ,Москва,,,
63,Аналитик данных / Data analyst,https://hh.ru/vacancy/36845907?query=python, Платформа нативной рекламы LuckyAds ,Москва,80000,,руб.
64,Разработчик Python,https://hh.ru/vacancy/36947148?query=python, Bell Integrator ,Москва,,,
65,Разработчик Python в Отдел бизнес-аналитики,https://hh.ru/vacancy/36991802?query=python, Rambler Group ,"Москва, Тульская",,,
66,Senior Data Scientist / Старший аналитик,https://hh.ru/vacancy/36777142?query=python,ООО Масл фектори ,Москва,,,
67,Python developer,https://hh.ru/vacancy/36267171?query=python, B2Broker Москва ,"Москва, Деловой центр и еще 2 ",150000,200000,руб.
68,Ведущий специалист по машинному обучению,https://hh.ru/vacancy/36904926?query=python,ООО Энтел-Транспорт ,Москва,150000,,руб.
69,Программист со знанием языка Python,https://hh.ru/vacancy/36752053?query=python," Speech, Архитектурная мастерская ",Москва,80000,110000,руб.
70,Spark data engineer,https://hh.ru/vacancy/36354015?query=python,ООО РАБЛЗ ,Москва,130000,300000,руб.
71,Frontend-разработчик,https://hh.ru/vacancy/36791185?query=python, Quiet Media ,Москва,,,
72,Python background разработчик,https://hh.ru/vacancy/36991832?query=python, EPG Service ,Москва,80000,100000,руб.
73,Стажер разработчик Python,https://hh.ru/vacancy/36927834?query=python,ООО Аналитические программные решения ,"Москва, Марьина Роща",20000,50000,руб.
74,Разработчик Python,https://hh.ru/vacancy/35957577?query=python,АО ДОМ.РФ ,"Москва, Александровский сад и еще 2 ",,,
75,Python developer,https://hh.ru/vacancy/36679925?query=python, Лаборатория Касперского ,Москва,,,
76,Разработчик Python (middle / senior) удалённо,https://hh.ru/vacancy/36769782?query=python,ООО Диджитал Пайн ,Москва,60000,140000,руб.
77,Программист Python,https://hh.ru/vacancy/34608956?query=python,ООО Сервионика ,Москва,,,
78,Middle python developer,https://hh.ru/vacancy/36549796?query=python, Beorg ,Москва,100000,150000,руб.
79,Middle Backend Developer (Python),https://hh.ru/vacancy/36924071?query=python, Knight Frank ,Москва,,,
80,Data scientist,https://hh.ru/vacancy/36966964?query=python, Recruitment Boutique S.M.Art ,Москва,,,
81,Разработчик на Python,https://hh.ru/vacancy/30242567?query=python,ООО Сервионика ,Москва,,,
82,Ведущий Python разработчик ( Middle Senior ) / Full stack Developer,https://hh.ru/vacancy/36769512?query=python,ООО Сода ,"Москва, Тверская и еще 2 ",,,
83,Python middle developer,https://hh.ru/vacancy/36449432?query=python, BestDoctor ,Москва,120000,160000,руб.
84,Python Разработчик,https://hh.ru/vacancy/36548335?query=python, Ростелеком - Центры обработки данных ,"Москва, Марьина Роща",,,
85,Разработчик на PYTHON,https://hh.ru/vacancy/35768680?query=python,ООО Бизнес Успех ,"Москва, Серпуховская и еще 1 ",200000,350000,руб.
86,Data Scientist / Senior Data Scientist (Python),https://hh.ru/vacancy/34251157?query=python, McKinsey & Company ,"Москва, Белорусская",,,
87,Программист-Исследователь (RnD),https://hh.ru/vacancy/36929281?query=python, Photo Lab ,"Москва, Тверская и еще 2 ",100000,200000,руб.
88,Инженер-разработчик Python,https://hh.ru/vacancy/36987031?query=python,АО Технологическая Компания Центр ,"Москва, Международная",,,
89,Python Developer (проект MyBook),https://hh.ru/vacancy/36915507?query=python, ЛитРес ,"Москва, Выставочная и еще 1 ",,,
90,NLP engineer / Data scientist NLP,https://hh.ru/vacancy/36725244?query=python,ООО АлгоМост ,"Москва, Маяковская",100000,250000,руб.
91,Middle/Senior data scientist (fraud prevention),https://hh.ru/vacancy/36991107?query=python,ООО КИБЕРТОНИКА ,Москва,140000,220000,руб.
92,Data Engineer,https://hh.ru/vacancy/36972863?query=python, Vigrom Corp. ,Москва,,,
93,Web-программист (удаленно),https://hh.ru/vacancy/36848803?query=python, Welbex ,Москва,30000,,руб.
94,Разработчик Python,https://hh.ru/vacancy/36925446?query=python, КЭЛС-центр ,Москва,,,
95,Data Engineer,https://hh.ru/vacancy/36409905?query=python, BestDoctor ,Москва,160000,200000,руб.
96,Data Engineer,https://hh.ru/vacancy/36766030?query=python, Метр Квадратный ,"Москва, Белорусская",140000,,руб.
97,Разработчик Python,https://hh.ru/vacancy/36933303?query=python, Сбербанк для экспертов ,Москва,,,
98,Golang разработчик (Backend) удаленно,https://hh.ru/vacancy/36631687?query=python,ООО Центр 2М ,Москва,200000,230000,руб.
99,"Fullstack Web Developer (Vue, Python)",https://hh.ru/vacancy/36725871?query=python,ИП Бадаев Марат Ильвединович ,Москва,70000,100000,руб.
100,Python-разработчик,https://hh.ru/vacancy/36487148?query=python, РБК ,"Москва, Калужская",,,
