,Vacancy,Link,Company,City,Salary_min,Salary_max,Currency
0,Инженер-проектировщик водоснабжения и канализации (ВК),https://www.superjob.ru/vakansii/inzhener-proektirovschik-vodosnabzheniya-i-kanalizacii-33369043.html,"""Концерн ""Автоматика""", Москва,,,
1,Инженер технической поддержки,https://www.superjob.ru/vakansii/inzhener-tehnicheskoj-podderzhki-33556693.html,"«Модный Континент» (бренды INCITY, DESEO)"," Москва, Выставочная, Деловой центр",,,
2,Инженер-конструктор,https://www.superjob.ru/vakansii/inzhener-konstruktor-33839845.html,"""Концерн ""Калашников""", Москва,,,
3,Ведущий инженер API,https://www.superjob.ru/vakansii/veduschij-inzhener-api-33808969.html,РОСГОССТРАХ Банк, Москва,,,
4,Инженер 1 категории,https://www.superjob.ru/vakansii/inzhener-1-kategorii-33834329.html,"АО ""Почта России""", Москва,35700,,руб.
5,"Инженер АСУТП (г. Магадан, Магаданская область)",https://www.superjob.ru/vakansii/inzhener-asutp-33795225.html,АНО Агентство по развитию человеческого капитала на Дальнем Востоке и в Арктике, Москва,,,
6,Сервисный инженер (мелкий бытовой ремонт),https://www.superjob.ru/vakansii/servisnyj-inzhener-32029402.html,РемМастер," Москва, Марьино",80000,,руб.
7,Инженер ПТО (электромонтажные работы),https://www.superjob.ru/vakansii/inzhener-pto-33795118.html,JOBCART.RU, Москва,60000,,руб.
8,"Инженер-конструктор, схемотехник",https://www.superjob.ru/vakansii/inzhener-konstruktor-33360043.html,Кадровое агентство уникальных специалистов," Москва, Шоссе Энтузиастов",80000,100000,руб.
9,Инженер-проектировщик пожарной безопасности,https://www.superjob.ru/vakansii/inzhener-proektirovschik-pozharnoj-bezopasnosti-27053168.html,СК БИТЭКС, Москва,100000,,руб.
10,Инженер РЭА,https://www.superjob.ru/vakansii/inzhener-rea-33802308.html,Сириус+, Москва,,,
11,"Ведущий инженер по испытаниям (24 РЭР, 20 РЭР)",https://www.superjob.ru/vakansii/veduschij-inzhener-po-ispytaniyam-33808349.html,"""Московская объединенная электросетевая компания""-филиал МКС", Москва,,,
12,Ведущий инженер-технолог по оптико-электронным изделиям,https://www.superjob.ru/vakansii/veduschij-inzhener-tehnolog-po-optiko-elektronnym-izdeliyam-33776379.html,НПП Александр, Москва,70000,,руб.
13,Старший инженер-механик производства по розливу напитков,https://www.superjob.ru/vakansii/starshij-inzhener-mehanik-proizvodstva-po-rozlivu-napitkov-33839397.html,"Московский пиво-безалкогольный комбинат ""Очаково""", Москва,100000,,руб.
14,Инженер электросвязи,https://www.superjob.ru/vakansii/inzhener-elektrosvyazi-33394463.html,МГТС," Москва, Пражская",,,
15,Ведущий инженер-проектировщик (наружные сети),https://www.superjob.ru/vakansii/veduschij-inzhener-proektirovschik-32899896.html,АВТОБАН," Москва, Юго-Западная",,,
16,Инженер-технолог,https://www.superjob.ru/vakansii/inzhener-tehnolog-33572597.html,Импульс," Москва, Алексеевская, Рижская",,,
17,"Специалист по телемедицинским технологиям (инженер, программист)",https://www.superjob.ru/vakansii/specialist-po-telemedicinskim-tehnologiyam-32444843.html,НИИОЗММ ДЗМ, Москва,,,
18,Инженер КИПиА,https://www.superjob.ru/vakansii/inzhener-kipia-33625865.html,Союзснаб, Москва,55000,65000,руб.
19,"Главный инженер проектов (дороги, мосты)",https://www.superjob.ru/vakansii/glavnyj-inzhener-proektov-33805337.html,Ведомости.HR, Москва,,,
20,Инженер-электрик по проектированию внутренних и наружных электрических систем,https://www.superjob.ru/vakansii/inzhener-elektrik-po-proektirovaniyu-vnutrennih-i-naruzhnyh-elektricheskih-sistem-33376809.html,"""Концерн ""Автоматика""", Москва,,,
21,Инженер сопровождения кредитных технологий,https://www.superjob.ru/vakansii/inzhener-soprovozhdeniya-kreditnyh-tehnologij-33844800.html,РОСГОССТРАХ Банк, Москва,,,
22,Ведущий инженер-технолог,https://www.superjob.ru/vakansii/veduschij-inzhener-tehnolog-33820128.html,"""Концерн ""Калашников""", Москва,,,
23,Сервисный инженер по кондиционированию,https://www.superjob.ru/vakansii/servisnyj-inzhener-po-kondicionirovaniyu-32034409.html,РемМастер, Москва,100000,,руб.
