_id,authors,name,link,sale_coast,old_coast,rating
5ecebab5f2c954e59741e415,"[""Златопольский Дмитрий Михайлович""]", Основы программирования на языке Python,https://www.labirint.ru/books/668926/,662,827,9.15
5ecebab5f2c954e59741e418,"[""Шлее Макс""]", Qt 5.10. Профессиональное программирование на C++,https://www.labirint.ru/books/635501/,1573,1966,7.6
5ecebab6f2c954e59741e419,"[""Седжвик Роберт"",""Дондеро Роберт"",""Уэйн Кевин""]", Программирование на Python. Базовый курс,https://www.labirint.ru/books/746802/,1920,2400,0
5ecebab6f2c954e59741e41b,"[""Лааксонен Антти""]", Олимпиадное программирование,https://www.labirint.ru/books/649871/,1305,1631,9.23
5ecebab6f2c954e59741e41d,"[""Уитни Дэвид""]", Программирование для детей. Пять самых крутых игр на HTML и JavaScript,https://www.labirint.ru/books/722960/,558,858,10
5ecebab6f2c954e59741e420,"[""Керниган Брайан"",""Донован Алан А. А.""]", Язык программирования Go,https://www.labirint.ru/books/533140/,2074,2592,8.29
5ecebab6f2c954e59741e421,"[""Скин Джош"",""Гринхол Дэвид""]", Kotlin. Программирование для профессионалов,https://www.labirint.ru/books/709995/,1409,1806,8.5
5ecebab6f2c954e59741e422,"[""Уильямс Энтони""]", C++. Практика многопоточного программирования,https://www.labirint.ru/books/733469/,1611,2065,1
5ecebab7f2c954e59741e425,"[""Серов Николай Евгеньевич""]", Программирование игр в Robloх Studio. Книга 1,https://www.labirint.ru/books/733729/,752,1157,10
5ecebab7f2c954e59741e427,"[""Уокенбах Джон""]", Excel 2013. Профессиональное программирование на VBA,https://www.labirint.ru/books/513024/,3458,4322,10
5ecebab7f2c954e59741e429,"[""Александер Майкл"",""Куслейка Ричард""]", Excel 2016. Профессиональное программирование на VBA,https://www.labirint.ru/books/623915/,3458,4322,10
5ecebab7f2c954e59741e42a,"[""Зандстра Мэтт""]", PHP,https://www.labirint.ru/books/711094/,2765,3456,7.75
5ecebab7f2c954e59741e42b,"[""Уитни Дэвид""]"," Программирование для детей. Учимся создавать сайты, приложения и игры. HTML, CSS и JavaScript",https://www.labirint.ru/books/621937/,614,945,7.75
5ecebab7f2c954e59741e42c,"[""Кайт Томас"",""Кун Дарл""]"," Oracle для профессионалов. Архитектура, методики программирования и основные особенности версий 9i",https://www.labirint.ru/books/512966/,4149,5186,10
5ecebab7f2c954e59741e42f,"[""Любанович Билл""]", Простой Python. Современный стиль программирования,https://www.labirint.ru/books/546688/,1097,1406,9.05
5ecebab7f2c954e59741e430,"[""Троелсен Эндрю"",""Джепикс Филипп""]", Язык программирования C# 7 и платформы .NET и .NET Core,https://www.labirint.ru/books/660321/,4149,5186,7.83
5ecebab8f2c954e59741e435,"[""Страуструп Бьярне""]", Язык программирования C++. Краткий курс,https://www.labirint.ru/books/695682/,1382,1728,10
5ecebab8f2c954e59741e438,"[""Свейгарт Эл""]", Программирование для детей. Делай игры и учи язык Scratch!,https://www.labirint.ru/books/614370/,847,1086,7.67
5ecebab8f2c954e59741e439,"[""Босова Анна Юрьевна"",""Сорокина Татьяна Евгеньевна""]", Информатика. 5-6 классы. Практикум по программированию в среде Scratch,https://www.labirint.ru/books/695699/,475,730,9.5
5ecebab9f2c954e59741e43c,"[""Грацианова Татьяна Юрьевна""]", Программирование в примерах и задачах,https://www.labirint.ru/books/585910/,468,720,10
5ecebab9f2c954e59741e43e,"[""Скит Джон""]", C# для профессионалов. Тонкости программирования,https://www.labirint.ru/books/512895/,2074,2592,10
5ecebab9f2c954e59741e43f,"[""Кочан Стефан"",""Вуд Патрик""]"," Программирование командных оболочек в Unix, Linux и OS X",https://www.labirint.ru/books/601752/,2074,2592,10
5ecebab9f2c954e59741e442,"[""Атенсио Луис""]", Функциональное программирование на JavaScript. Как улучшить код JavaScript-программ,https://www.labirint.ru/books/620557/,2074,2592,8
5ecebab9f2c954e59741e444,"[""Рубио-Санчес Мануэль""]", Введение в рекурсивное программирование,https://www.labirint.ru/books/702505/,2223,2779,0
5ecebabaf2c954e59741e445,"[""Иерузалимски Роберту""]", Программирование на языке Lua,https://www.labirint.ru/books/433606/,1060,1325,8.33
5ecebabaf2c954e59741e446,"[""Тюкачев Николай Аркадьевич"",""Хлебостроев Виктор Григорьевич""]", C#. Программирование 2D и 3D векторной графики (+CD),https://www.labirint.ru/books/598759/,2210,2762,4.5
5ecebabaf2c954e59741e449,"[""Гусев Дмитрий"",""Чернаков Сергей"",""Хазеев Ринат""]", Уши машут ослом. Современное социальное программирование,https://www.labirint.ru/books/658544/,583,729,5.8
5ecebabaf2c954e59741e44b,"[""Докука Олег"",""Лозинский Игорь""]", Практика реактивного программирования в SPRING 5,https://www.labirint.ru/books/709075/,2284,2855,0
5ecebabaf2c954e59741e44c,"[""Тоуманнен Бриан""]", Программирование GPU при помощи Python и CUDA. Исследуйте высокопроизводительные параллельные вычисл,https://www.labirint.ru/books/735073/,1468,1835,0
5ecebabaf2c954e59741e44f,"[""Мэтиз Эрик""]"," Изучаем Python. Программирование игр, визуализация данных, веб-приложения",https://www.labirint.ru/books/593039/,1249,1601,9.45
